Dia_do_Teste;Preco_Real_US$;Previsao_IA_US$
126;412,968505859375;409,40586178886286
127;405,1086120605469;419,056141773877
128;400,93060302734375;411,31222203232556
129;394,8769836425781;405,93095445232575
130;396,6930847167969;399,12477037876056
131;389,5477600097656;399,5022592754991
132;393,973876953125;393,8152842994174
133;385,5384826660156;395,75130845473865
134;385,65753173828125;390,01742586350656
135;397,9732666015625;386,8696465860455
136;393,8746643066406;396,3887129920202
137;390,32183837890625;394,1104684826739
138;377,2717590332031;391,8897127161521
139;377,5595703125;381,80706792702154
140;380,35809326171875;379,7048876822439
141;375,8923034667969;382,57521193000156
142;385,6079406738281;381,36773689779767
143;385,7468566894531;387,58699140818123
144;380,6062316894531;390,00852893616707
145;384,8735656738281;385,4126179222963
146;383,9010314941406;388,73117028535876
147;388,28741455078125;387,4682553440393
148;390,0935974121094;390,45053203854917
149;392,15777587890625;394,88249058462446
150;387,0072021484375;393,7524470580615
151;387,61260986328125;390,9955592556251
152;375,9220886230469;390,4935951950818
153;372,5379943847656;384,41985305381473
154;379,2863464355469;377,3733103033698
155;379,2367248535156;380,9599026306447
156;370,27532958984375;382,8924310731617
157;357,10614013671875;370,563252218473
158;355,14117431640625;358,23290044918014
159;351,86627197265625;355,267916813905
160;387,52325439453125;354,1280431345614
161;378,4527282714844;378,46158466946116
162;385,498779296875;377,08254570573104
163;384,8636474609375;382,7569949354075
164;382,7994384765625;386,7796325038971
165;368,7867126464844;386,4423219877304
166;364,98577880859375;375,7943491731785
167;356,3916015625;372,8077058471753
168;364,0331115722656;363,646712232499
169;371,5456237792969;365,63842409523596
170;384,3574523925781;373,25654950287895
171;388,8729553222656;381,58889587604807
172;388,18817138671875;389,08832087064997
173;391,0462951660156;390,0895613088218
174;392,2570495605469;392,45983833468546
175;422,16802978515625;388,4543104372263
176;431,97296142578125;415,1197906772223
177;432,8562316894531;425,4216538209137
178;430,0179443359375;428,2770047121417
179;430,0576477050781;427,5806294177541
180;434,8410339355469;431,6600187764983
