Dia_do_Teste;MSFT_Real_US$;MSFT_Previsto_US$;NVDA_Real_US$;NVDA_Previsto_US$;GOOGL_Real_US$;GOOGL_Previsto_US$;META_Real_US$;META_Previsto_US$
175;391,04632568359375;399,56915606717126;108,99431610107422;108,8797270144658;159,60658264160156;162,78062263587097;552,7156982421875;541,6483324584092
176;392,25701904296875;401,9955497105223;108,89433288574219;109,50291688947301;158,2512664794922;162,66102373743243;547,2926025390625;545,0138110217661
177;422,16802978515625;395,3230296038887;111,58370208740236;106,62305897680858;160,7426300048828;159,4275579150785;570,430419921875;530,4503211207399
178;431,9729919433594;421,2168813177094;114,47303009033205;111,85731929124432;163,4632110595703;164,38720888910032;595,1632690429688;566,682263469589
179;432,8562316894531;429,20503375109837;113,7931900024414;113,84170270330777;163,642578125;166,2218256058529;597,40625;579,367188987567
180;430,0179138183594;432,3584137250035;113,51325988769531;113,86686855188478;162,6659698486328;165,91324830656137;585,4834594726562;585,3540631742288
181;430,0576477050781;431,7386633505181;117,03242492675781;112,87911831806957;150,85691833496094;165,3008144965935;594,953857421875;579,98870342962
182;434,84100341796875;435,67445378807906;117,34235382080078;113,1302344798756;153,7468719482422;160,33397445991577;596,150146484375;575,5104023812484
183;435,39678955078125;444,4290765802151;116,62252044677734;116,8997976417397;152,22219848632812;160,73235359708835;590,6473388671875;592,8667447236335
184;445,8467712402343;448,98975547706704;122,97102355957031;118,24500553389095;157,91246032714844;160,139165221517;637,4412841796875;597,4664140516469
185;445,7276916503906;456,3317077235641;129,89938354492188;121,6830625840393;158,978759765625;162,33884378551303;653,98974609375;618,259214529305
186;449,498779296875;459,3950269090436;135,30810546875;125,52595869741147;164,79855346679688;162,14006452522008;657,309326171875;633,8507751621519
187;450,51293945312506;462,72801182965776;134,79823303222656;129,81947532394875;163,39344787597656;164,15482435482983;641,8775024414062;641,9520898056405
188;451,6463317871094;464,12153914762604;135,36810302734375;131,41302031436902;165,61572265625;164,69913999335733;638,3485107421875;636,4016921354314
189;456,2197570800782;465,81216209441084;135,53805541992188;132,83373154961873;165,96450805664062;166,8835748414621;638,438232421875;629,2226469877244
190;455,5238342285157;466,96755438717736;134,34832763671875;133,05232083351765;163,41336059570312;166,94380524526204;635,1185913085938;629,9376456486546
191;449,95617675781256;467,36310388137207;131,76895141601562;132,66627965120972;167,9775390625;166,71872392999578;633,5235595703125;629,2006044012559
192;452,23291015625006;461,3907304192839;132,7987060546875;130,5338479767056;170,279541015625;167,21261690558455;634,5902099609375;623,4909359737326
193;447,5799560546875;463,53466697576715;131,25906372070312;130,58154613334275;167,8878631591797;170,24701028106466;625,1097412109375;625,2093942359728
194;458,0292663574219;459,11565612308084;135,4680633544922;129,75725356679308;172,30255126953125;168,85629141510515;640,3223876953125;622,5492242255254
195;454,7184753417969;468,98742103872166;134,7782440185547;132,7632544266798;171,76441955566406;172,00117921648877;641,5784301757812;635,0780260080337
196;456,03088378906256;467,23449284588855;139,15721130371094;132,89497871776223;171,2661437988281;174,63490044056783;643,0438842773438;634,1981326808803
197;457,70117187499994;467,64872526503075;135,09817504882812;135,93190860405082;171,14654541015625;174,28714562313306;645,476318359375;636,0319086937836
198;459,30187988281256;466,3119393190249;137,34764099121094;133,02642981019613;168,4459228515625;173,4525948613379;668,8134765625;632,975809138325
199;460,2960815429688;466,4072586519837;141,1867218017578;133,57448550690884;165,60575866699222;171,96094711747443;664,7760009765625;643,9126939465172
200;461,1908874511718;468,7770611606973;141,88656616210938;135,61017759086081;167,4693145751953;170,5771185326416;685,8104858398438;649,4213339137063
201;464,9788818359375;470,9762642578488;139,95701599121094;137,35210157896273;167,62876892089844;170,40415110392024;682,49072265625;663,0999596920364
202;467,6632995605469;472,62113645306636;141,6865997314453;137,17728535491932;173,07984924316406;171,2059295835555;695,5401000976562;670,5925714286343
